"Local Site Name","State Name","County Name","City Name","CBSA Name","Latitude","Longitude","4th Max Value","4th Max DateTime"
"LOCATED ON EDGE OF U.S. FOREST SERVICE CAMPGROUND.","California","Nevada","","Truckee-Grass Valley, CA","39.316555","-120.845475","0.078","2014-08-27 17:00"
"Anaheim","California","Orange","Anaheim","Los Angeles-Long Beach-Santa Ana, CA","33.83062","-117.93845","0.05","2014-03-29 10:00"
"Costa Mesa","California","Orange","Costa Mesa","Los Angeles-Long Beach-Santa Ana, CA","33.67464","-117.92568","0.058","2014-02-22 11:00"
"Mission Viejo","California","Orange","Mission Viejo","Los Angeles-Long Beach-Santa Ana, CA","33.63003","-117.67593","0.056","2014-02-24 10:00"
"La Habra","California","Orange","La Habra","Los Angeles-Long Beach-Santa Ana, CA","33.92513","-117.95264","0.048","2014-03-23 10:00"
"Auburn-11645 Atwood","California","Placer","Auburn","Sacramento--Arden-Arcade--Roseville, CA","38.93568","-121.09959","0.081","2014-06-05 12:00"
"","California","Placer","Colfax","Sacramento--Arden-Arcade--Roseville, CA","39.100278","-120.952778","0.073","2014-06-05 12:00"
"Roseville-N Sunrise Blvd","California","Placer","Roseville","Sacramento--Arden-Arcade--Roseville, CA","38.745726","-121.266312","0.083","2014-07-14 09:00"
"Tahoe City-221 Fairway Drive","California","Placer","Tahoe City","Sacramento--Arden-Arcade--Roseville, CA","39.166017","-120.148833","0.062","2014-04-21 14:00"
"Lincoln-1445 1st Street","California","Placer","Lincoln","Sacramento--Arden-Arcade--Roseville, CA","38.88563","-121.30208","0.07","2014-06-05 11:00"
"","California","Riverside","Joshua Tree National Monument","Riverside-San Bernardino-Ontario, CA","33.7411","-115.8206","0.091","2014-06-06 10:00"
"Pechanga","California","Riverside","","Riverside-San Bernardino-Ontario, CA","33.447867","-117.088649","0.079","2014-05-01 13:00"
"Banning Airport","California","Riverside","Banning","Riverside-San Bernardino-Ontario, CA","33.92086","-116.85841","0.088","2014-06-24 11:00"
"Temecula","California","Riverside","","Riverside-San Bernardino-Ontario, CA","33.583333","-117.083333","0.065","2014-02-24 09:00"
"Cabazon Resource Recovery Park Station","California","Riverside","","Riverside-San Bernardino-Ontario, CA","33.590833","-116.088333","0.071","2014-10-01 10:00"
"Morongo","California","Riverside","Banning","Riverside-San Bernardino-Ontario, CA","33.945","-116.83","0.098","2014-07-02 12:00"
"Indio","California","Riverside","Indio","Riverside-San Bernardino-Ontario, CA","33.70853","-116.21537","0.064","2014-03-17 13:00"
"Palm Springs","California","Riverside","Palm Springs","Riverside-San Bernardino-Ontario, CA","33.85275","-116.54101","0.065","2014-03-29 10:00"
"","California","Riverside","Perris","Riverside-San Bernardino-Ontario, CA","33.78942","-117.22764","0.061","2014-03-17 10:00"
"Rubidoux","California","Riverside","Rubidoux","Riverside-San Bernardino-Ontario, CA","33.99958","-117.41601","0.063","2014-03-29 10:00"
"Mira Loma (Van Buren)","California","Riverside","Mira Loma","Riverside-San Bernardino-Ontario, CA","33.995638","-117.493304","0.061","2014-03-29 11:00"
"Lake Elsinore","California","Riverside","Lake Elsinore","Riverside-San Bernardino-Ontario, CA","33.67649","-117.33098","0.053","2014-03-23 10:00"
"495 W MURPHY STREET, BLYTHE","California","Riverside","Blythe","Riverside-San Bernardino-Ontario, CA","33.612406","-114.602886","0.078","2014-05-17 09:00"
"North Highlands-Blackfoot","California","Sacramento","","Sacramento--Arden-Arcade--Roseville, CA","38.71209","-121.38109","0.075","2014-07-05 10:00"
"Sacramento-Del Paso Manor","California","Sacramento","Arden-Arcade","Sacramento--Arden-Arcade--Roseville, CA","38.613779","-121.368014","0.075","2014-07-14 10:00"
"Sacramento-1309 T Street","California","Sacramento","Sacramento","Sacramento--Arden-Arcade--Roseville, CA","38.558228","-121.492981","0.07","2014-07-14 10:00"
"Elk Grove-Bruceville","California","Sacramento","","Sacramento--Arden-Arcade--Roseville, CA","38.302591","-121.420838","0.067","2014-06-01 10:00"
"Folsom-Natoma","California","Sacramento","Folsom","Sacramento--Arden-Arcade--Roseville, CA","38.683304","-121.164457","0.081","2014-08-27 09:00"
"SACRAMENTO-GOLDENLAND COURT","California","Sacramento","Sacramento","Sacramento--Arden-Arcade--Roseville, CA","38.650783","-121.506767","0.07","2014-07-06 11:00"
"Sloughhouse","California","Sacramento","","Sacramento--Arden-Arcade--Roseville, CA","38.494475","-121.211131","0.076","2014-09-11 12:00"
"Hollister 2","California","San Benito","Hollister","San Jose-Sunnyvale-Santa Clara, CA","36.844096","-121.362121","0.068","2014-10-06 10:00"
"Pinnacles National Monument, SW of East Entrance Station","California","San Benito","","San Jose-Sunnyvale-Santa Clara, CA","36.48324","-121.15688","0.069","2014-05-14 11:00"
"Barstow Air Monitoring Station; SBD County Tax Assessor's Office","California","San Bernardino","Barstow","Riverside-San Bernardino-Ontario, CA","34.895007","-117.024484","0.084","2014-06-11 13:00"
"Crestline","California","San Bernardino","Crestline","Riverside-San Bernardino-Ontario, CA","34.2431","-117.27235","0.101","2014-05-17 10:00"
"Phelan Air Monitoring Station; North of SBD County Fire Departmment","California","San Bernardino","","Riverside-San Bernardino-Ontario, CA","34.426126","-117.563939","0.093","2014-05-17 12:00"
"Victorville -Park Avenue","California","San Bernardino","Victorville","Riverside-San Bernardino-Ontario, CA","34.510014","-117.331433","0.084","2014-06-04 15:00"
"Upland","California","San Bernardino","Upland","Riverside-San Bernardino-Ontario, CA","34.10374","-117.62914","0.06","2014-03-23 11:00"
"OLD ACE 2 SITE , FOR KERR MAGEE OR NORTH AMER CHEM CORP","California","San Bernardino","Searles Valley","Riverside-San Bernardino-Ontario, CA","35.763873","-117.397004","0.067","2014-06-01 09:00"
"Fontana","California","San Bernardino","Fontana","Riverside-San Bernardino-Ontario, CA","34.10002","-117.49201","0.08","2014-06-20 10:00"
"Hesperia Air Monitoring Station; SBD Country Fire Department","California","San Bernardino","Hesperia","Riverside-San Bernardino-Ontario, CA","34.418073","-117.285597","0.087","2014-07-25 13:00"
"Redlands","California","San Bernardino","Redlands","Riverside-San Bernardino-Ontario, CA","34.05977","-117.14731","0.06","2014-02-24 10:00"
"SITE MOVED FROM LOST HORSE RANGER STATION TO BLACK ROCK CANYON 10-93","California","San Bernardino","","Riverside-San Bernardino-Ontario, CA","34.06957","-116.38893","0.09","2014-06-25 13:00"
"San Bernardino","California","San Bernardino","San Bernardino","Riverside-San Bernardino-Ontario, CA","34.10688","-117.27411","0.06","2014-03-29 10:00"
"Chula Vista","California","San Diego","Chula Vista","San Diego-Carlsbad-San Marcos, CA","32.631231","-117.059075","0.055","2014-05-03 09:00"
"El Cajon","California","San Diego","El Cajon","San Diego-Carlsbad-San Marcos, CA","32.791194","-116.942092","0.048","2014-02-13 10:00"
"San Diego - Downtown","California","San Diego","San Diego","San Diego-Carlsbad-San Marcos, CA","32.701492","-117.149653","0.067","2014-05-03 09:00"
"La Posta Reservation","California","San Diego","Boulevard","San Diego-Carlsbad-San Marcos, CA","32.725226","-116.365203","0.027","2014-06-08 08:00"
"San Diego-Kearny Villa Road","California","San Diego","San Diego","San Diego-Carlsbad-San Marcos, CA","32.845467","-117.123894","0.067","2014-05-01 10:00"
"El Cajon - Floyd Smith Drive","California","San Diego","El Cajon","San Diego-Carlsbad-San Marcos, CA","32.817978","-116.968133","0.044","2014-07-09 09:00"
"Pala Airpad","California","San Diego","Pala","San Diego-Carlsbad-San Marcos, CA","33.362593","-117.09023","0.068","2014-05-16 11:00"
